 name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#MODULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSS_Activeflaremodule,,,flarelauncher_active,0,500,100,200,200,200,1,,50,50,50,50,0,50,NONE,,,,,,,,,,,,,,,,1000,,,,,"UNBOARDABLE, HIDE_IN_CODEX ",,,0.75,1,3,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FRIGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peltast,MSS_vigilance_carrier,Ultralight Carrier,Mayasuran,flarelauncher_active,5,1000,150,1500,1350,100,20,,130,120,100,45,90,150,OMNI,,90,0.4,0.8,,,5,25,15,15,1,15,10,16500,8,15,240,0.25,5,5,CARRIER,mayasura_bp,,0.5,2,2,
Nailer,MSS_Nailer,Heavy Frigate,Mayasuran,MSS_microburn,6,2000,450,2500,2500,200,60,,95,180,120,60,120,250,FRONT,,150,0.4,1,,,25,50,40,20,1,20,9,14000,8,10,300,0.25,6,6,,mayasura_bp,,0.4,2,2,207
Mako,MSS_Mako,Heavy Bomber,Mayasuran,ammofeed,4,2000,300,2200,2200,200,40,,180,175,100,90,120,200,FRONT,,300,0.4,0.8,,,10,40,20,20,1,30,10,9500,5,10,240,0.25,4,4,,mayasura_bp,,0.4,2,2,201
Vigilance (M),MSS_vigilance_m,Frigate,Mayasuran,fastmissileracks,5,1000,150,1900,1625,130,45,,140,120,100,45,90,100,OMNI,,90,0.4,0.8,,,10,25,40,25,1,25,10,15000,8,10,240,0.25,5,5,,"mayasura_e_bp, rare_bp",,0.5,2,2,208
Perryi,MSS_Perryi_F,Corvette,Mayasuran,maneuveringjets,4,900,150,2000,2500,150,40,,200,150,100,100,150,120,OMNI,,150,0.5,0.8,,,6,15,15,3,0.5,34,11,6000,5,10,240,0.25,3,3,,mayasura_bp,,0.75,2,2,110
Nightingale,MSS_Nightingale,Phase Frigate,Mayasuran,highenergyfocus,10,1200,350,2500,3750,300,50,,165,120,100,60,120,200,PHASE,MSS_phasecloak,90,,,0.05,0.05,10,15,25,50,1,50,10,24000,10,20,180,0.25,8,8,,"rare_bp, mayasura_e_bp",,0.5,2,2,211
Tiburo,MSS_Tiburo,Heavy Frigate,Mayasuran,ammofeed,7,2250,350,2200,2188,175,50,,120,110,90,40,80,300,FRONT,,270,0.4,0.8,,,30,50,50,25,1,25,10,15000,10,10,240,0.25,5,5,,mayasura_bp,,0.4,2,2,219
Loyalist,MSS_Loyalist,Command Frigate,Mayasuran,MSS_safeties,8,2500,400,2500,2188,200,70,,120,110,90,40,80,300,FRONT,,270,0.4,0.8,,,50,100,50,25,1,25,10,20000,10,10,420,0.25,7,7,,mayasura_bp,,0.4,2,2,219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DESTROYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunder (M),MSS_Sunder,Destroyer,Mayasuran,highenergyfocus,9,4000,250,7500,8333,500,115,,90,80,60,30,30,350,FRONT,,300,0.4,1.2,,,50,70,80,50,2,25,9,55000,5,15,300,0.25,11,11,,"mayasura_e_bp, rare_bp",,0.5,2,3,301
Hammerhead (M),MSS_Hammerhead,Destroyer,Mayasuran,ammofeed,10,5000,500,4200,4167,250,105,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,50000,5,12,360,0.25,10,10,,"mayasura_e_bp, rare_bp",,0.5,2,3,300
Argentavis,MSS_Argentavis,Superheavy Destroyer,Mayasuran,MSS_dronegunship,14,6000,800,5000,5000,350,105,,65,60,40,40,60,600,FRONT,,200,0.4,0.8,,,80,160,120,80,2,30,9,50000,5,15,420,0.25,15,15,,mayasura_bp,,0.5,2,3,300
Shikra,MSS_Shikra,Escort Carrier,Mayasuran,targetingfeed,12,5000,450,3500,3350,250,90,2,70,55,40,40,60,400,OMNI,,120,0.4,0.8,,,100,250,60,60,2,20,9,60000,5,15,360,0.25,14,14,CARRIER,mayasura_bp,,0.5,2,3,300
Stingray,MSS_Stingray,Combat Carrier,Mayasuran,maneuveringjets,12,4000,400,5500,3350,450,95,1,70,55,30,30,60,380,OMNI,,120,0.4,1,,,100,160,30,50,2,20,9,58000,5,15,360,0.25,11,11,,mayasura_bp,,0.5,2,3,300
Scaramouche,MSS_Scaramouche,Interdictor,Mayasuran,MSS_microburn,10,5000,300,6000,5777,400,95,,100,75,60,40,60,450,FRONT,,120,0.4,1,,,50,100,100,60,2,30,10,52000,5,15,360,0.25,10,10,,mayasura_bp,,0.5,2,3,300
Scaramouche (CJ),MSS_Scaramouche_HVB,Interdictor,Mayasuran,MSS_microburn,10,5000,300,6000,5777,400,95,,100,75,60,40,60,450,FRONT,,120,0.4,1,,,50,100,100,60,2,30,10,52000,5,15,360,0.25,10,10,,,,0.5,2,3,300
#CRUISER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
